0.177936,-0.373150,0.644636,0.003152,0.011358,0.273989,0.961661,-0.632320,0.566829,-0.288189,0.892357,-0.069079,-0.247702,-0.773321,-0.516154,-0.074397,1.377399,-0.549483,0.241244,-0.056148,0.005312,0.430436,-0.458969,0.131273,-0.686486,-0.758991,-0.155684,0.014364,0.204238,-0.586802,-0.180936,0.075463,-0.799679,0.212603,-0.086157,-0.223001,0.249445,0.009410,0.216247,0.279867,-0.141822,0.261795,0.037538,0.448136,-0.582794,0.041696,-0.249009,-0.591034,-0.194858,-0.271216,-0.346909,0.876428,0.115513,-0.463995,0.051079,0.876788,0.161152,0.113268,0.146949,0.969333,0.003834,-0.011076,-0.231689,0.972719
0.200939,-0.406728,0.668678,-0.003889,0.018681,0.285052,0.958322,-0.683587,0.578571,-0.200709,0.935542,-0.030088,-0.247722,-0.716545,-0.473638,-0.172917,1.330706,-0.503418,0.204436,-0.050336,0.003486,0.428696,-0.502592,0.145808,-0.695899,-0.747190,-0.177046,0.021002,0.201242,-0.625345,-0.216176,0.002522,-0.827806,0.199163,-0.085962,-0.206422,0.250547,0.007154,0.218825,0.275683,-0.150567,0.275692,0.053636,0.420904,-0.591839,0.044636,-0.208895,-0.610793,-0.189777,-0.275779,-0.363287,0.869456,0.082158,-0.503964,0.039484,0.858901,0.121226,0.110748,0.194884,0.966985,0.030700,0.008835,-0.240893,0.970026
0.223532,-0.439791,0.690397,-0.018369,0.022376,0.296479,0.954601,-0.744900,0.515579,-0.136220,1.099227,-0.059461,-0.247734,-0.705231,-0.411135,-0.238560,1.323760,-0.362353,0.208869,-0.052421,0.014049,0.429415,-0.543177,0.167467,-0.705717,-0.726815,-0.190071,0.032035,0.203049,-0.653415,-0.236184,-0.057597,-0.845736,0.196735,-0.080750,-0.204853,0.253188,0.000583,0.218028,0.271915,-0.162478,0.282893,0.059294,0.358203,-0.598061,0.053363,-0.165134,-0.617822,-0.170994,-0.270947,-0.381198,0.867201,0.068163,-0.528602,0.017209,0.845954,0.061412,0.134060,0.209190,0.966693,0.091310,0.075175,-0.242729,0.962857
0.246608,-0.472278,0.709525,-0.038941,0.022757,0.298834,0.953239,-0.783800,0.515347,-0.005526,1.228932,-0.091083,-0.247728,-0.754282,-0.299301,-0.263101,1.355626,-0.163840,0.246129,-0.053213,0.033013,0.429982,-0.570651,0.197215,-0.715009,-0.706680,-0.198965,0.040772,0.207146,-0.661107,-0.235055,-0.095597,-0.855149,0.204296,-0.071597,-0.211730,0.255785,-0.005392,0.214640,0.270092,-0.173250,0.282623,0.062851,0.295471,-0.600575,0.073656,-0.113623,-0.610170,-0.144043,-0.260495,-0.395182,0.869037,0.075669,-0.535030,-0.005204,0.841421,-0.008600,0.141258,0.249327,0.958023,0.175177,0.169097,-0.210361,0.946820
0.269932,-0.502997,0.717978,-0.050188,0.024545,0.288500,0.955849,-0.769008,0.514785,0.074714,1.277797,-0.164622,-0.247038,-0.814206,-0.212589,-0.245214,1.396898,-0.095924,0.247701,-0.037861,0.049826,0.425367,-0.591619,0.230158,-0.724146,-0.693024,-0.206819,0.048366,0.212931,-0.659645,-0.242496,-0.122155,-0.865702,0.178623,-0.065895,-0.207390,0.257095,-0.005270,0.212372,0.269021,-0.177071,0.282896,0.057579,0.260937,-0.604256,0.088584,-0.088379,-0.597465,-0.115264,-0.253668,-0.399523,0.873355,0.066591,-0.543352,-0.017609,0.836675,-0.038809,0.124813,0.261761,0.956241,0.197866,0.206255,-0.166445,0.943718
0.292469,-0.530849,0.717532,-0.064485,0.028024,0.284069,0.956222,-0.737266,0.538457,0.094286,1.275093,-0.240076,-0.230424,-0.824172,-0.286178,-0.154384,1.350087,-0.086188,0.247415,-0.028604,0.072270,0.417239,-0.609420,0.262622,-0.734249,-0.691015,-0.224518,0.052129,0.217374,-0.660951,-0.250676,-0.131256,-0.876863,0.157315,-0.066564,-0.200072,0.256252,-0.006652,0.212762,0.265721,-0.180938,0.283376,0.044076,0.262794,-0.606283,0.094439,-0.149704,-0.604962,-0.091957,-0.248200,-0.409133,0.873242,0.062474,-0.555083,-0.023544,0.829111,-0.020283,0.100355,0.267390,0.958134,0.141609,0.183215,-0.183783,0.955302
0.314596,-0.556482,0.707800,-0.077412,0.029410,0.288780,0.953807,-0.719848,0.586913,0.093690,1.261442,-0.343825,-0.213757,-0.814042,-0.390553,-0.035440,1.204418,-0.059792,0.239232,-0.036721,0.093786,0.409410,-0.624721,0.284842,-0.736744,-0.695334,-0.233719,0.050216,0.223867,-0.670881,-0.260728,-0.135043,-0.881580,0.159817,-0.064904,-0.198415,0.255199,-0.011463,0.215774,0.260982,-0.188627,0.284203,0.034021,0.281378,-0.604241,0.105866,-0.243742,-0.615141,-0.076018,-0.250159,-0.419694,0.869194,0.065185,-0.564664,-0.030342,0.822183,0.017766,0.052019,0.273710,0.960240,0.053361,0.134857,-0.201986,0.968591
0.336685,-0.579768,0.693592,-0.082541,0.028205,0.288351,0.953543,-0.736042,0.598218,-0.000645,1.279592,-0.426848,-0.243831,-0.789746,-0.432160,0.048383,1.022538,0.040284,0.071192,-0.048009,0.099608,0.402474,-0.630240,0.286705,-0.729689,-0.700112,-0.234819,0.041689,0.238104,-0.684396,-0.271443,-0.147881,-0.879117,0.161932,-0.059257,-0.199691,0.254567,-0.013962,0.220292,0.257306,-0.194999,0.287404,0.020363,0.312848,-0.588813,0.126984,-0.309247,-0.621427,-0.077794,-0.259454,-0.418281,0.866991,0.059241,-0.571481,-0.040069,0.817493,0.049747,0.025884,0.247763,0.967196,-0.083589,0.131539,-0.185243,0.970255
0.358866,-0.603173,0.678732,-0.088148,0.025626,0.293220,0.951628,-0.809489,0.564940,-0.122267,1.399295,-0.441564,-0.247559,-0.748586,-0.340033,0.189753,0.958051,0.075751,0.239238,-0.059564,0.098082,0.397354,-0.638200,0.268721,-0.721286,-0.698196,-0.236582,0.028790,0.242832,-0.694234,-0.280557,-0.171279,-0.880916,0.170231,-0.051835,-0.200387,0.254108,-0.017275,0.225653,0.253044,-0.201245,0.291273,0.013785,0.323613,-0.557617,0.127177,-0.328547,-0.624734,-0.091358,-0.271610,-0.418274,0.861933,0.051523,-0.577356,-0.051136,0.813259,0.068208,0.060907,0.222958,0.970530,-0.046385,0.141996,-0.120092,0.981460
0.380558,-0.626894,0.654759,-0.085758,0.019375,0.302149,0.949197,-0.924162,0.504470,-0.197639,1.604505,-0.448084,-0.247745,-0.722754,-0.299129,0.113110,1.056857,-0.227535,0.247446,-0.064676,0.087391,0.396743,-0.655431,0.221260,-0.711707,-0.679065,-0.230675,0.005206,0.248163,-0.705184,-0.305403,-0.212993,-0.884146,0.168109,-0.040667,-0.203340,0.255527,-0.020338,0.231843,0.250135,-0.206441,0.297014,0.018740,0.302745,-0.517705,0.099528,-0.279976,-0.634422,-0.118678,-0.289581,-0.410070,0.856680,0.028417,-0.583753,-0.066619,0.808694,0.056768,0.110412,0.214840,0.968726,-0.009304,0.049588,-0.095472,0.994153
