2.440982,-2.074335,0.780164,0.029549,-0.051519,0.010437,-0.998180,-0.545847,0.039325,0.003975,0.308572,0.025659,-0.041077,-0.054268,0.108783,-0.216105,0.268857,-0.247700,-0.026790,0.060881,0.090756,-0.008155,0.127070,0.128483,-0.269902,0.851527,0.784856,0.132042,0.099336,-0.067894,-0.096537,0.124308,0.771466,-0.780244,0.057373,-0.133920
2.454654,-2.074520,0.779049,0.027852,-0.053981,0.012450,-0.998076,-0.542299,0.022587,-0.029018,0.242918,0.046222,-0.045908,-0.031578,0.107971,-0.209018,0.254198,-0.246966,-0.024496,0.070855,0.082527,-0.008610,0.141571,0.116440,-0.241614,0.847570,0.761140,0.136579,0.106211,-0.074253,-0.099438,0.135010,0.767192,-0.765731,0.064206,-0.136495
2.469224,-2.074489,0.776169,0.026119,-0.055612,0.015456,-0.997991,-0.535724,0.010975,-0.057381,0.220194,0.057875,-0.052878,-0.006897,0.106740,-0.200778,0.242041,-0.247721,-0.022146,0.078945,0.074331,-0.008148,0.156092,0.106865,-0.218355,0.842858,0.741240,0.139969,0.109746,-0.077018,-0.101096,0.146482,0.763009,-0.756701,0.070122,-0.140187
2.484106,-2.073932,0.775388,0.024915,-0.056488,0.018660,-0.997918,-0.531617,0.009709,-0.052559,0.241345,0.075202,-0.030184,0.016624,0.103741,-0.194204,0.236537,-0.247567,-0.019082,0.084455,0.066480,-0.007078,0.168343,0.103478,-0.208619,0.839991,0.737129,0.142104,0.107681,-0.075355,-0.102022,0.159071,0.758225,-0.752243,0.074108,-0.144898
2.500230,-2.073162,0.774408,0.021905,-0.056965,0.021466,-0.997905,-0.523714,0.006858,-0.038967,0.274742,0.083290,-0.018078,0.040177,0.095299,-0.189542,0.235569,-0.242890,-0.015908,0.088814,0.057321,-0.005359,0.175064,0.103571,-0.213087,0.843271,0.750239,0.143783,0.100494,-0.067511,-0.104368,0.170814,0.752777,-0.750357,0.076947,-0.150651
2.516621,-2.072186,0.776155,0.017711,-0.057067,0.022716,-0.997955,-0.513466,-0.000313,-0.026311,0.298675,0.077123,-0.014657,0.060926,0.081794,-0.189099,0.241856,-0.227851,-0.014266,0.091985,0.046104,-0.002840,0.175041,0.104332,-0.223365,0.855542,0.771686,0.147401,0.091063,-0.052139,-0.106892,0.180214,0.748698,-0.748692,0.080115,-0.156584
2.534346,-2.071397,0.781425,0.013008,-0.056869,0.021879,-0.998057,-0.493559,-0.009359,-0.015846,0.312304,0.063754,-0.022705,0.079794,0.066582,-0.193984,0.262174,-0.195376,-0.015895,0.093336,0.033252,0.000569,0.168627,0.103426,-0.231719,0.875922,0.792416,0.154430,0.081525,-0.030171,-0.108995,0.188603,0.748381,-0.747415,0.084849,-0.159172
2.552032,-2.070810,0.785212,0.007358,-0.056650,0.019586,-0.998175,-0.467298,-0.021206,-0.007981,0.313950,0.044756,-0.033043,0.091123,0.048487,-0.199746,0.287696,-0.151047,-0.021539,0.092396,0.019475,0.004324,0.157312,0.099699,-0.236662,0.900554,0.809708,0.163448,0.073341,-0.004801,-0.113096,0.199968,0.752402,-0.749473,0.090675,-0.153802
2.569746,-2.070409,0.788590,0.001541,-0.056212,0.016718,-0.998278,-0.436954,-0.034701,-0.003563,0.308607,0.024994,-0.041256,0.093757,0.028894,-0.203779,0.327819,-0.096244,-0.022496,0.089246,0.005732,0.008103,0.142848,0.094608,-0.240723,0.924880,0.824985,0.170915,0.068079,0.020905,-0.120811,0.217536,0.759772,-0.757336,0.095365,-0.138910
2.587305,-2.070168,0.791132,-0.004503,-0.055402,0.013760,-0.998359,-0.407013,-0.049702,-0.001145,0.304059,0.006207,-0.039236,0.084127,0.007052,-0.201980,0.391038,-0.036928,-0.006699,0.084094,-0.007473,0.012258,0.126336,0.088758,-0.247173,0.946246,0.839490,0.173113,0.066560,0.045206,-0.133580,0.240807,0.768621,-0.771723,0.097284,-0.116318
